query_id,image_id_1,image_id_2,image_id_3,image_id_4,image_id_5,image_id_6,image_id_7,image_id_8,image_id_9,image_id_10,image_id_11,image_id_12,image_id_13,image_id_14,image_id_15,generated_caption
000fba4508af4c6e,bdb8dceb38566413,16a1aca080dd91d2,7961051a82281013,02e55ffa25e5f8a1,56bf3fb16501388e,38297f9436e604d7,5fbb75345cc71782,175159cd5611d918,dab96510a053f37a,0f93f06d415d14d5,f4e3336f864f369e,9848e627a868cb2a,9367481fee27eb86,21de2cacc63545f5,17ecf8dce435c41f,This is an image caption.
00205027f62e0dc4,885f668b9a618007,38c4e9d5e47fd39e,52f2ee9753c33165,6815aba4f5feb2ec,329e2c6bc39756d3,3e91b113e23a5a9c,10310b54814cc8e4,19a7bf237d10dce1,dbbf087e09ad15be,c4f63cea28e3e025,2d4ce8c4cf57ddd2,11b6adeda973fe0e,60d1cca6adffb96f,3279133b55253338,117141ae3c41ba1f,This is an image caption.
003c0ab2834081cf,94f771ee869ac598,26871a0d2514253b,150146d55b8bde34,ec329a0740bdc16a,192e33acccd0af05,19486231ca38591b,2efeabab10b4b2fc,8c235e59287fb41b,03ee508dba01bd12,003dfa0175ff6c20,990723aa0d75b138,88552274f15eff55,7d050cfe01a41267,5c6140e6c5abca7a,24ebb72e4b7d5c55,This is an image caption.
0045e915b815e497,7f7c4398900cb9b9,3013d58fb86c7dc8,931bd9727593dd8c,8e015c4df2483515,e69574286fcd45ad,31cff2620bc70e2f,608c9d715fdc5b05,1a9b66fd0f73db1f,0c385727dbc54aef,af831301b204c7c8,f918bc27a960e43f,98067de870c313d1,d7129041899b5d67,5efd837366004d69,2e4f5183f23817c6,This is an image caption.
00ac8f59ab8196cb,c053ce41d42d20e6,362c6529d8f7f0e6,0f956eccf49f0f83,506f948a05f3ffa5,30f309d454b9f0ca,1d9e1ad003ebcb99,c82fc4f6155c17fd,d0c6e1f163bec115,450863ae95a663a4,b938ffa7757262fa,364556c90270a134,246ea1aa58f3d42a,21709756d4c0f182,7a8d4bbdcc8db46a,13048e2df0038d29,This is an image caption.
00b81e449003bf96,9846440118793ed5,68541469a9b86644,12804cb6f326157c,d1cb91059bbd395d,093b4090b42826e9,3b97fc3fc082e3d2,b6c3f9d289dabe1a,0a0188f547b3dd1c,15dcf61d5cfa0aab,7b605079293be6ba,289070751df1eeb8,3af1897080436c5f,98965de9425d9d29,22a25d28120098c2,2adf193f5b830b0a,This is an image caption.
00ebf0ea86582913,a84329ae090bbec8,92fda74bee0bc4d6,cf7f58f54fb386c8,16740120ec8caeae,116fdcde71cf848f,6920764b22c67c58,21ad9f9536790d5f,1264fe5910813961,41ef8d2c99f97106,99e82159edfeb5df,7af7f30e420fc5c6,6b4e29b2de93b54a,2b238c1f23b42adc,b2d58a4e2c58df1b,010cffe58eeb16ea,This is an image caption.
00f422ca3ecbfae3,6867e4d1655b6079,052ca1c3d1348f6d,ac3fc3bb786e2405,1a215a23f435d9be,23a6f06b79c8727c,192e33acccd0af05,a37e61f97fcd073e,73c3dec41d63113a,1c4d479e75c6f5d2,7e728d952430fc2b,1041d71d2db6835a,2f01af409c5ea835,40b5cb0849fecc86,11c3e451c9963bcf,bbbba3de1d299ef4,This is an image caption.
00f6f844cfa8a8a3,1e04a2a87136f965,c94f70b4b34d8ae6,23a13ef3292347d2,1f64dbce905d6f3b,6c244392b9b8f680,5b9136e4fefc9a6e,c0769f81496a5467,12738dd1a0e18adf,0d5c72b2b5a09689,3ca636f8254fc62b,e7850c4956cf9f99,b60ecb425f2e9337,31b9eb5fe24a0e82,f7f8957248a284e5,1453f62cd25c03f3,This is an image caption.
01196dd23807e69d,944fb3ac34a1baec,d86ca8108801b694,7d5c0712d6923d52,5faafeb3c49d4fd0,1ec07578c17cb875,6c7845a0190513a5,0e1965de086cea8f,9a843cd5aefc7d8d,c2588b8576a3819d,5832ce6710456175,a87dcb73479f3304,3686ea628c2eb3fe,acff15266b36f8b9,8cbeca600d0ce270,bc406c0267d5f151,This is an image caption.
0120e3616f78d9df,a87dcb73479f3304,5faafeb3c49d4fd0,84183ce7c27f0fb6,d86ca8108801b694,7e76aac95a0d0ef4,1e781cf9bc9ab080,944fb3ac34a1baec,6c7845a0190513a5,1928d971d450aaaa,9a843cd5aefc7d8d,76113ebae1286da0,72461d329b4e572f,885f24117c0ca3b5,0e1965de086cea8f,1ec07578c17cb875,This is an image caption.
0145543272138fb2,deb286734b19e62c,6eb8407cdbdd7f75,a7c36d644dd7682a,64e73d0e6f78b96b,b87fdba1737d6fdf,92a00fd0f652cb48,6348316b8aeb3242,6b2a715a13b32161,103e46d0e086915f,b8ee59aa223bedf5,2a18c356eefb7703,2e3cfca1598e2777,0fde2c0c998d2e3b,7b6918779c432bc5,6ff3590c417e2e68,This is an image caption.
0149973fbcc8796e,c51dad865fb42446,4dae2e98ccc5cf21,cec40dace61724e0,eb235397ae3397ea,f6c1eb4dd62a12e4,9fc0ab466e7d1084,de00c0471737e4bb,8248eabdd0f5c9b2,14e205c76b169431,110ae65282b3bd09,28a453185c18423e,2cdeab7fcd190894,500010ce3930960f,22190e5b27afe075,9289af3f1dd20627,This is an image caption.
0188acd20c67ed0e,00d1e9188d6534c5,37fa9d016f457f91,893567c194b0270c,3831766e75224851,5121f3eeb1efaf54,2c86a05fe799ed7b,f1edba7afe8dc174,94044d3f268a3a50,2efeabab10b4b2fc,ad18cf6e52b7a2f2,6a14ac966ce06fd5,0bcc984aa31477ee,24ebb72e4b7d5c55,8b0011cd2a7332be,060e2f74bf65b13a,This is an image caption.
01dc0c350462668e,430779cc0bfc007b,589474686383019b,934eab692de1912b,ed5dfd07f6d76613,cab6d9a3ce0b27e9,32228567849c7ee9,b7ebcf9d7e325092,d0b201e9e152bb64,7cf23ffd954443d4,169234e0a11080eb,dd05b7d0e3afa953,aba5bd55c70f8283,c36212d894efbc43,509b9ad8c3d395d2,0fbceb1c4b63ee42,This is an image caption.
01f9677cb4653866,1590eaeadb52983c,356e7132f4ad8516,013be6949fc93d83,92dd14674ad0454a,48b81f0f9b243744,46015adbf684e972,924271d4209297ab,8b948b9587c5bc7f,b563ef49fbfd4eba,b52b731ac72d92c5,7045379aece2f922,110e84e3e21e8b36,faac44ace67e3e38,d1c81dd5e0128806,9ed76b88ea453265,This is an image caption.
021e08eafe91291d,e62d2f397c4aabaf,8c04969a0a868612,3c60044ced2bc2ea,91d6fd4d3aff33a7,17d8e7c3ce04d6a5,c6832b902ae72e7b,528c94e9d0826410,4a225fc2ce9ac38a,43153e8d7db0f0cb,ec6727719f9154ab,07d3eb3fe184f52c,33f086c45e557c7d,d4600ce9e83fab35,a1671991541ef1ed,6fc8385eb629a28d,This is an image caption.
023e1984db6f77b4,3273bda3ff066163,e27b8cad4584c501,3c9234dde4dc5b72,2de6aa03e18c3d50,5c8ecccb61f7e896,caf020c1ea714737,633b072f8a5966c3,92d8b88afdd5f14d,7139604ec09e8565,8acc7cb0d4ba97f5,9921dcef7ab0b21b,03d44cd15c9db292,4efc69210b3e8bba,9af9229545b95086,1ebcba82926f2d4b,This is an image caption.
0240f57773fe7b7e,9757674239f2f9d3,1be8cccc50c02222,644d429ff6ac9652,0319db0899e808df,8617045a7938db2e,a0f4ce734832455c,5771b52299023940,a834b0cc60818ed7,55b8d8bf86b33bf5,015e4bb1109d8802,a1d666ff3e8dc59b,092e39e39f49053d,cbd4f647f0721e6f,4ecbc699611b2c64,1fa6d697c5bdcc82,This is an image caption.
02470f034b3130af,0e96e492c0a1ea71,f5155dc391dc0edc,23a13ef3292347d2,0c7b5b52fc530758,904114f944b7e4e4,83fb00b9fb1bee1e,5b9136e4fefc9a6e,4f2fe78bce187365,30da76a736501d78,0bfc3626eb5c7250,428b5159688fefe2,6c244392b9b8f680,664b65b5e612516e,47fc6a4d367db2bb,2626b80bf9c9cdc7,This is an image caption.
