query_id,article_id_1,article_id_2,article_id_3,article_id_4,article_id_5,article_id_6,article_id_7,article_id_8,article_id_9,article_id_10,generated_caption
001291527dd1afba,d38bf0838efad953,9091bed5af27911a,abea7bf4fecc7a51,8d54e25cd91d7cdc,61a79087a6a490e2,8cf6947263544760,add339334ec4621e,0b932c590ad5ca5e,6befa9387ef781a7,a2f759416c5bc672,This is an image caption.
001852c4fe4352a9,4dcc774a8517b2b3,e5f483f10cd426f9,45e98868b108bbdb,9e9d176fa79c1cbb,e9171152b1cc5c0d,4430001fec6b9780,667907e45e7b3853,64a480cf39b6dc0e,f26191148dd5e139,0bff9c0187b5c5a8,This is an image caption.
0018afd8f3867f2c,88641eb04ba17e0a,2a6c398b863e67ba,bcdc901abbdf503c,beebb104ee4881cf,f5ddf46af2b815a3,88641eb04ba17e0a,1fab85a2514989d7,f2d5731ef8ff3eed,ef5e3b47c87140ab,a75baf9e2bd3cb81,This is an image caption.
001acd345bbffde0,da275aa36bd167c4,b4205667b0895824,99d9f6144229af09,da275aa36bd167c4,b4205667b0895824,e5ec5d890790f45c,4b28de8ae6b1eff5,18453b7503294c86,4785eca875cf59c0,e9ab85137cf5d766,This is an image caption.
003514dd0e5cc67a,149f990d64488d0a,5f65b9799e072e53,ef5e3b47c87140ab,3289d097c11324df,3be3f85205350b1d,0f6e3aed281e32af,79302f3d51730265,f5ddf46af2b815a3,6b590cb20133350f,d8b05b682b9853e2,This is an image caption.
003e72d2cb134fb7,5207a398eab032e7,3a618296ac543904,111bef004ff9a2b7,8f39dc2f2808c3ec,8ec457184173ca9b,1e6f6e257adfb94b,111bef004ff9a2b7,6a6844e4021b4fb2,f6acad5a1e804556,13f0d47e6e255620,This is an image caption.
00586b20dd85a4aa,268ce6cc02b96f38,eebd29d6b3e8a6f1,cab7ff1401ba154e,1e6dbb01d637bb27,9e9d176fa79c1cbb,00d6e696cc5404a1,fa9f5b144c868076,9719bb743d059a64,1970b30827ac492e,0bff9c0187b5c5a8,This is an image caption.
007d5d5cd1061a0f,5fdbe4a2743f858b,4e676551d8c74092,4e676551d8c74092,ae4d1d80800a8492,50a72ae29300f450,225fe13543e3fd44,ac7262e4424d548e,902a315e4b1bd0fe,42455c7873aa77c0,b2b6e131050a2d10,This is an image caption.
00a61fc6feecae5d,8213aaaa52eac5ce,8213aaaa52eac5ce,1f3967c384369aff,4287dc2240d948f3,48010660b3aaad55,b5cfbb72a41ba641,5f7acf871835dcf5,9d357dd7e2ff90d9,3da1fee7b62d9e4f,b6e49a32086af12c,This is an image caption.
00ab175e3286c997,a7338f5674bf0062,49c5bfda85d72696,a7338f5674bf0062,9a7c622d69440c7c,7f16224d4dffca10,a7338f5674bf0062,a7338f5674bf0062,986856b2fddc3530,af4e9c57e731c253,309c027c48ca8fee,This is an image caption.
00cfd7a08dc740d7,7ffb31f30531809c,573afbb811f2fc93,497d95ca217bea49,c6040da087b6f06c,57664533b1b4327e,e720badf53e96e53,d6f54cc72cba4ed8,243b9ad7504af9a7,8fc1d45a6fc72c9e,ed75b73a895a9ded,This is an image caption.
00e84e5f63196275,32c7148d0835cafe,60fb02040554dacb,483fd74dd2a573b5,4731edb9a3bbcb00,5a1712184533814c,bf6b2094d89de591,4405ecd43c0b46d3,5a1712184533814c,26925bf1382d0861,cbe36df23831eb85,This is an image caption.
00fca0b3e8b9d5c3,6aa4f434ab5062b4,96c653c50b720e6b,5252e7e7613abaf5,10307b8cfbacc551,5252e7e7613abaf5,2509a0d0a7f1d0d3,7be16a8f9c204287,3b333949d41229c1,13de5cce757d6ce1,04a7d25760f50ae7,This is an image caption.
0108c792f6a53e56,5f9cbc7292e50eb1,15efd0be1440ff95,d1992d8c8ee6f979,e88cc847dd5f46ae,42e4c33f7e161db8,3af0d339032c349b,bb39322fd8e8772f,adaacb1281ba5fc7,4dba580dd64474f9,33d280c82150d4cb,This is an image caption.
010f94de580963d9,5f983d2565b51420,1978a02af3354118,e60c3a2e9df7cf95,50f5c50eebf68fbd,cd5899cab52c3c1b,233ac16434b72cb7,eb1fefecc96228f5,6e05f00e3aca83fe,5f983d2565b51420,9d4e24e1b7ff73df,This is an image caption.
0120ceb47c7b5e3b,1e27232420aa8f9d,26e553ed87621fba,675f09d694d23c1a,2f2ab41de5f7d1b5,d6639019bb8ca319,6c2fc5ad3a9cb982,39d5820b3c4ba857,909b6dbf3c82af54,3e47fb5c779f8c25,9449f010460a8eb5,This is an image caption.
013137066e123f15,d52eb2acf647e9dd,e6d96f1a52d90ea0,917ba7acc5432c8c,18912878f4b018d3,72fc91cfce30a7ba,b85beebbe750f001,2a7cc68bb950cf58,5d88671f36ce857f,9f470203b2637af3,db90936f0d282ac4,This is an image caption.
01538e8d55f0a2c7,a533b305db79f74b,b9fa95ccf3d8572c,3ddcd4eaf6eafabf,3ddcd4eaf6eafabf,26de7fb5b909a067,3ddcd4eaf6eafabf,45c4e1ee6a0d84e5,3c0c1c27cfb9b0b9,03185536bca80b7d,cca4392fb70e67ce,This is an image caption.
0163167e688e2a3e,5d54a354da019fa2,404af32a4d62971f,db18030bc10fd9a9,3044358d061fa995,39a837c0d95a0fa2,41b18b3fe5d71f3c,166e222707c4e0e7,404af32a4d62971f,258c8519875ba3e3,05d2d05c98bf7218,This is an image caption.
017559be5fe53255,7ffb31f30531809c,766239e79459a64e,8e995cc4fdfa290b,51253bde48e0bb1f,c6040da087b6f06c,dc7e948e1faf3022,4731edb9a3bbcb00,ead6c732cd87ae9c,21f98f6971db6de0,0c71964ce9830e34,This is an image caption.
017db4be56eaf74d,85e452b6e5f0666c,c9dbb71a6d14c564,14b533ff20035f47,d491044ab41b72c7,7c8af6b03ebf97fb,162393b53c40f4d3,d491044ab41b72c7,8f7db96507a0cfd9,daeb7515b4cf93d9,183b2f1c84ea8ec7,This is an image caption.
017f7e240b9937ce,91a572c7cf42bd9b,bec4e07a2ea74ec2,87727733060ecd62,07aabffec5363229,506df21863ba503b,7641d4e7aa306d45,900a524670bb8bb6,b157ce2a0569df63,5525bd94dd4fc402,ab2e7b1d9390d9f2,This is an image caption.
01b49622730f7457,6fecafce82b4986d,2414d4000126e412,8f13dd26523ac3cd,3b73df5014e280dc,90641fc906466754,4d365569c15daa91,2a77a0ff880610a5,3b73df5014e280dc,91cbe525949173a3,6eabc43d059f8c2b,This is an image caption.
01b7af3ca3b6c19a,69a6b88e88b1c012,69a6b88e88b1c012,69a6b88e88b1c012,35179597734cb4d6,35179597734cb4d6,ed18e6a1593cde93,35179597734cb4d6,e471888d593eb490,e9171152b1cc5c0d,35179597734cb4d6,This is an image caption.
